sic,description,as_of_date,value,is_sa,release_as_of_date
592,Liquor stores,1995-07-01,1837,1,1996-07-01
5961,Total mail order,1995-07-01,3946,1,1996-07-01
53,General merchandise group stores,1996-07-01,23407,0,1996-07-01
541,Grocery stores,1996-07-01,34447,0,1996-07-01
56,Apparel and accessory stores,1996-07-01,8515,0,1996-07-01
58,Eating and drinking places,1996-07-01,20672,0,1996-07-01
591,Drug and proprietary stores,1996-07-01,7250,0,1996-07-01
553,Auto and home supply stores,1995-07-01,3027,0,1996-07-01
571,Furniture and home furnishings,1995-07-01,5317,0,1996-07-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-07-01,4143,0,1996-07-01
53,General merchandise group stores,1995-07-01,23054,0,1996-07-01
541,Grocery stores,1995-07-01,33468,0,1996-07-01
56,Apparel and accessory stores,1995-07-01,8362,0,1996-07-01
58,Eating and drinking places,1995-07-01,20666,0,1996-07-01
591,Drug and proprietary stores,1995-07-01,6664,0,1996-07-01
592,Liquor stores,1995-07-01,1929,0,1996-07-01
5961,Total mail order,1995-07-01,3094,0,1996-07-01
53,General merchandise group stores,1996-08-01,25923,1,1996-08-01
541,Grocery stores,1996-08-01,33300,1,1996-08-01
56,Apparel and accessory stores,1996-08-01,9511,1,1996-08-01
58,Eating and drinking places,1996-08-01,19436,1,1996-08-01
591,Drug and proprietary stores,1996-08-01,7463,1,1996-08-01
553,Auto and home supply stores,1995-08-01,2921,1,1996-08-01
571,Furniture and home furnishings,1995-08-01,5396,1,1996-08-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-08-01,4645,1,1996-08-01
53,General merchandise group stores,1995-08-01,24729,1,1996-08-01
541,Grocery stores,1995-08-01,32479,1,1996-08-01
56,Apparel and accessory stores,1995-08-01,9012,1,1996-08-01
58,Eating and drinking places,1995-08-01,19622,1,1996-08-01
591,Drug and proprietary stores,1995-08-01,7013,1,1996-08-01
592,Liquor stores,1995-08-01,1871,1,1996-08-01
5961,Total mail order,1995-08-01,3950,1,1996-08-01
53,General merchandise group stores,1996-08-01,26168,0,1996-08-01
541,Grocery stores,1996-08-01,34965,0,1996-08-01
56,Apparel and accessory stores,1996-08-01,10443,0,1996-08-01
58,Eating and drinking places,1996-08-01,21185,0,1996-08-01
591,Drug and proprietary stores,1996-08-01,7373,0,1996-08-01
553,Auto and home supply stores,1995-08-01,3181,0,1996-08-01
571,Furniture and home furnishings,1995-08-01,5596,0,1996-08-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-08-01,4524,0,1996-08-01
53,General merchandise group stores,1995-08-01,24526,0,1996-08-01
541,Grocery stores,1995-08-01,33259,0,1996-08-01
56,Apparel and accessory stores,1995-08-01,9616,0,1996-08-01
58,Eating and drinking places,1995-08-01,21015,0,1996-08-01
591,Drug and proprietary stores,1995-08-01,6894,0,1996-08-01
592,Liquor stores,1995-08-01,1903,0,1996-08-01
5961,Total mail order,1995-08-01,3500,0,1996-08-01
53,General merchandise group stores,1996-09-01,26023,1,1996-09-01
541,Grocery stores,1996-09-01,33777,1,1996-09-01
56,Apparel and accessory stores,1996-09-01,9355,1,1996-09-01
58,Eating and drinking places,1996-09-01,19648,1,1996-09-01
591,Drug and proprietary stores,1996-09-01,7493,1,1996-09-01
553,Auto and home supply stores,1995-09-01,2936,1,1996-09-01
571,Furniture and home furnishings,1995-09-01,5516,1,1996-09-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-09-01,4655,1,1996-09-01
53,General merchandise group stores,1995-09-01,24974,1,1996-09-01
541,Grocery stores,1995-09-01,32438,1,1996-09-01
56,Apparel and accessory stores,1995-09-01,9271,1,1996-09-01
58,Eating and drinking places,1995-09-01,19633,1,1996-09-01
591,Drug and proprietary stores,1995-09-01,7094,1,1996-09-01
592,Liquor stores,1995-09-01,1899,1,1996-09-01
5961,Total mail order,1995-09-01,3933,1,1996-09-01
53,General merchandise group stores,1996-09-01,23687,0,1996-09-01
541,Grocery stores,1996-09-01,32358,0,1996-09-01
56,Apparel and accessory stores,1996-09-01,8812,0,1996-09-01
58,Eating and drinking places,1996-09-01,19334,0,1996-09-01
591,Drug and proprietary stores,1996-09-01,6991,0,1996-09-01
553,Auto and home supply stores,1995-09-01,2995,0,1996-09-01
571,Furniture and home furnishings,1995-09-01,5527,0,1996-09-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-09-01,4376,0,1996-09-01
53,General merchandise group stores,1995-09-01,23059,0,1996-09-01
541,Grocery stores,1995-09-01,32146,0,1996-09-01
56,Apparel and accessory stores,1995-09-01,9171,0,1996-09-01
58,Eating and drinking places,1995-09-01,19653,0,1996-09-01
591,Drug and proprietary stores,1995-09-01,6711,0,1996-09-01
592,Liquor stores,1995-09-01,1886,0,1996-09-01
5961,Total mail order,1995-09-01,3736,0,1996-09-01
53,General merchandise group stores,1996-10-01,26111,1,1996-10-01
541,Grocery stores,1996-10-01,34067,1,1996-10-01
56,Apparel and accessory stores,1996-10-01,9477,1,1996-10-01
58,Eating and drinking places,1996-10-01,19812,1,1996-10-01
591,Drug and proprietary stores,1996-10-01,7581,1,1996-10-01
553,Auto and home supply stores,1995-10-01,2972,1,1996-10-01
571,Furniture and home furnishings,1995-10-01,5496,1,1996-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-10-01,4684,1,1996-10-01
53,General merchandise group stores,1995-10-01,24592,1,1996-10-01
541,Grocery stores,1995-10-01,32653,1,1996-10-01
56,Apparel and accessory stores,1995-10-01,9052,1,1996-10-01
58,Eating and drinking places,1995-10-01,19609,1,1996-10-01
591,Drug and proprietary stores,1995-10-01,7092,1,1996-10-01
592,Liquor stores,1995-10-01,1900,1,1996-10-01
5961,Total mail order,1995-10-01,3908,1,1996-10-01
53,General merchandise group stores,1996-10-01,25807,0,1996-10-01
541,Grocery stores,1996-10-01,33863,0,1996-10-01
56,Apparel and accessory stores,1996-10-01,9524,0,1996-10-01
58,Eating and drinking places,1996-10-01,20050,0,1996-10-01
591,Drug and proprietary stores,1996-10-01,7482,0,1996-10-01
553,Auto and home supply stores,1995-10-01,3073,0,1996-10-01
571,Furniture and home furnishings,1995-10-01,5567,0,1996-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-10-01,4483,0,1996-10-01
53,General merchandise group stores,1995-10-01,23969,0,1996-10-01
541,Grocery stores,1995-10-01,31837,0,1996-10-01
56,Apparel and accessory stores,1995-10-01,8880,0,1996-10-01
58,Eating and drinking places,1995-10-01,19766,0,1996-10-01
591,Drug and proprietary stores,1995-10-01,6922,0,1996-10-01
592,Liquor stores,1995-10-01,1828,0,1996-10-01
5961,Total mail order,1995-10-01,4330,0,1996-10-01
53,General merchandise group stores,1996-11-01,25844,1,1996-11-01
541,Grocery stores,1996-11-01,33815,1,1996-11-01
56,Apparel and accessory stores,1996-11-01,9374,1,1996-11-01
58,Eating and drinking places,1996-11-01,19637,1,1996-11-01
591,Drug and proprietary stores,1996-11-01,7696,1,1996-11-01
553,Auto and home supply stores,1995-11-01,2989,1,1996-11-01
571,Furniture and home furnishings,1995-11-01,5600,1,1996-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-11-01,4726,1,1996-11-01
53,General merchandise group stores,1995-11-01,24772,1,1996-11-01
541,Grocery stores,1995-11-01,32743,1,1996-11-01
56,Apparel and accessory stores,1995-11-01,9237,1,1996-11-01
58,Eating and drinking places,1995-11-01,19592,1,1996-11-01
591,Drug and proprietary stores,1995-11-01,7173,1,1996-11-01
592,Liquor stores,1995-11-01,1919,1,1996-11-01
5961,Total mail order,1995-11-01,3958,1,1996-11-01
53,General merchandise group stores,1996-11-01,30755,0,1996-11-01
541,Grocery stores,1996-11-01,34086,0,1996-11-01
56,Apparel and accessory stores,1996-11-01,10865,0,1996-11-01
58,Eating and drinking places,1996-11-01,19048,0,1996-11-01
591,Drug and proprietary stores,1996-11-01,7534,0,1996-11-01
553,Auto and home supply stores,1995-11-01,3004,0,1996-11-01
571,Furniture and home furnishings,1995-11-01,6255,0,1996-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-11-01,5255,0,1996-11-01
53,General merchandise group stores,1995-11-01,29817,0,1996-11-01
541,Grocery stores,1995-11-01,32481,0,1996-11-01
56,Apparel and accessory stores,1995-11-01,10616,0,1996-11-01
58,Eating and drinking places,1995-11-01,18750,0,1996-11-01
591,Drug and proprietary stores,1995-11-01,7037,0,1996-11-01
592,Liquor stores,1995-11-01,1919,0,1996-11-01
5961,Total mail order,1995-11-01,5332,0,1996-11-01
53,General merchandise group stores,1996-12-01,26022,1,1996-12-01
541,Grocery stores,1996-12-01,33979,1,1996-12-01
56,Apparel and accessory stores,1996-12-01,9430,1,1996-12-01
58,Eating and drinking places,1996-12-01,19906,1,1996-12-01
591,Drug and proprietary stores,1996-12-01,7702,1,1996-12-01
553,Auto and home supply stores,1995-12-01,2989,1,1996-12-01
571,Furniture and home furnishings,1995-12-01,5554,1,1996-12-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-12-01,4763,1,1996-12-01
53,General merchandise group stores,1995-12-01,24845,1,1996-12-01
541,Grocery stores,1995-12-01,32957,1,1996-12-01
56,Apparel and accessory stores,1995-12-01,9204,1,1996-12-01
58,Eating and drinking places,1995-12-01,19617,1,1996-12-01
591,Drug and proprietary stores,1995-12-01,7129,1,1996-12-01
592,Liquor stores,1995-12-01,1928,1,1996-12-01
5961,Total mail order,1995-12-01,3967,1,1996-12-01
53,General merchandise group stores,1996-12-01,44279,0,1996-12-01
541,Grocery stores,1996-12-01,35644,0,1996-12-01
56,Apparel and accessory stores,1996-12-01,15248,0,1996-12-01
58,Eating and drinking places,1996-12-01,19747,0,1996-12-01
591,Drug and proprietary stores,1996-12-01,9527,0,1996-12-01
553,Auto and home supply stores,1995-12-01,2774,0,1996-12-01
571,Furniture and home furnishings,1995-12-01,6676,0,1996-12-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1995-12-01,7540,0,1996-12-01
53,General merchandise group stores,1995-12-01,42780,0,1996-12-01
541,Grocery stores,1995-12-01,35626,0,1996-12-01
56,Apparel and accessory stores,1995-12-01,15180,0,1996-12-01
58,Eating and drinking places,1995-12-01,19852,0,1996-12-01
591,Drug and proprietary stores,1995-12-01,8797,0,1996-12-01
592,Liquor stores,1995-12-01,2651,0,1996-12-01
5961,Total mail order,1995-12-01,5954,0,1996-12-01
53,General merchandise group stores,1997-02-01,27488,1,1997-02-01
541,Grocery stores,1997-02-01,33948,1,1997-02-01
56,Apparel and accessory stores,1997-02-01,9630,1,1997-02-01
58,Eating and drinking places,1997-02-01,20221,1,1997-02-01
591,Drug and proprietary stores,1997-02-01,7857,1,1997-02-01
553,Auto and home supply stores,1996-02-01,3036,1,1997-02-01
571,Furniture and home furnishings,1996-02-01,5497,1,1997-02-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-02-01,4751,1,1997-02-01
53,General merchandise group stores,1996-02-01,25340,1,1997-02-01
541,Grocery stores,1996-02-01,32979,1,1997-02-01
56,Apparel and accessory stores,1996-02-01,9608,1,1997-02-01
58,Eating and drinking places,1996-02-01,19856,1,1997-02-01
591,Drug and proprietary stores,1996-02-01,7162,1,1997-02-01
592,Liquor stores,1996-02-01,1940,1,1997-02-01
5961,Total mail order,1996-02-01,3995,1,1997-02-01
53,General merchandise group stores,1997-02-01,21297,0,1997-02-01
541,Grocery stores,1997-02-01,30689,0,1997-02-01
56,Apparel and accessory stores,1997-02-01,7155,0,1997-02-01
58,Eating and drinking places,1997-02-01,17997,0,1997-02-01
591,Drug and proprietary stores,1997-02-01,7362,0,1997-02-01
553,Auto and home supply stores,1996-02-01,2666,0,1997-02-01
571,Furniture and home furnishings,1996-02-01,4826,0,1997-02-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-02-01,4247,0,1997-02-01
53,General merchandise group stores,1996-02-01,20413,0,1997-02-01
541,Grocery stores,1996-02-01,31000,0,1997-02-01
56,Apparel and accessory stores,1996-02-01,7352,0,1997-02-01
58,Eating and drinking places,1996-02-01,18347,0,1997-02-01
591,Drug and proprietary stores,1996-02-01,6961,0,1997-02-01
592,Liquor stores,1996-02-01,1674,0,1997-02-01
5961,Total mail order,1996-02-01,3388,0,1997-02-01
53,General merchandise group stores,1997-03-01,27490,1,1997-03-01
541,Grocery stores,1997-03-01,34158,1,1997-03-01
56,Apparel and accessory stores,1997-03-01,9730,1,1997-03-01
58,Eating and drinking places,1997-03-01,20470,1,1997-03-01
591,Drug and proprietary stores,1997-03-01,8015,1,1997-03-01
553,Auto and home supply stores,1996-03-01,3071,1,1997-03-01
571,Furniture and home furnishings,1996-03-01,5634,1,1997-03-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-03-01,4845,1,1997-03-01
53,General merchandise group stores,1996-03-01,25316,1,1997-03-01
541,Grocery stores,1996-03-01,33071,1,1997-03-01
56,Apparel and accessory stores,1996-03-01,9245,1,1997-03-01
58,Eating and drinking places,1996-03-01,19789,1,1997-03-01
591,Drug and proprietary stores,1996-03-01,7311,1,1997-03-01
592,Liquor stores,1996-03-01,1956,1,1997-03-01
5961,Total mail order,1996-03-01,3909,1,1997-03-01
53,General merchandise group stores,1997-03-01,25316,0,1997-03-01
541,Grocery stores,1997-03-01,34329,0,1997-03-01
56,Apparel and accessory stores,1997-03-01,9477,0,1997-03-01
58,Eating and drinking places,1997-03-01,20490,0,1997-03-01
591,Drug and proprietary stores,1997-03-01,8167,0,1997-03-01
553,Auto and home supply stores,1996-03-01,3003,0,1997-03-01
571,Furniture and home furnishings,1996-03-01,5420,0,1997-03-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-03-01,4583,0,1997-03-01
53,General merchandise group stores,1996-03-01,23129,0,1997-03-01
541,Grocery stores,1996-03-01,33269,0,1997-03-01
56,Apparel and accessory stores,1996-03-01,8796,0,1997-03-01
58,Eating and drinking places,1996-03-01,20106,0,1997-03-01
591,Drug and proprietary stores,1996-03-01,7355,0,1997-03-01
592,Liquor stores,1996-03-01,1860,0,1997-03-01
5961,Total mail order,1996-03-01,3749,0,1997-03-01
53,General merchandise group stores,1997-04-01,27234,1,1997-04-01
541,Grocery stores,1997-04-01,33787,1,1997-04-01
56,Apparel and accessory stores,1997-04-01,9560,1,1997-04-01
58,Eating and drinking places,1997-04-01,20601,1,1997-04-01
591,Drug and proprietary stores,1997-04-01,8129,1,1997-04-01
553,Auto and home supply stores,1996-04-01,2990,1,1997-04-01
571,Furniture and home furnishings,1996-04-01,5524,1,1997-04-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-04-01,4673,1,1997-04-01
53,General merchandise group stores,1996-04-01,26074,1,1997-04-01
541,Grocery stores,1996-04-01,33206,1,1997-04-01
56,Apparel and accessory stores,1996-04-01,9565,1,1997-04-01
58,Eating and drinking places,1996-04-01,19646,1,1997-04-01
591,Drug and proprietary stores,1996-04-01,7411,1,1997-04-01
592,Liquor stores,1996-04-01,1901,1,1997-04-01
5961,Total mail order,1996-04-01,3975,1,1997-04-01
53,General merchandise group stores,1997-04-01,24343,0,1997-04-01
541,Grocery stores,1997-04-01,32604,0,1997-04-01
56,Apparel and accessory stores,1997-04-01,8709,0,1997-04-01
58,Eating and drinking places,1997-04-01,20539,0,1997-04-01
591,Drug and proprietary stores,1997-04-01,7869,0,1997-04-01
553,Auto and home supply stores,1996-04-01,3056,0,1997-04-01
571,Furniture and home furnishings,1996-04-01,5209,0,1997-04-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-04-01,4140,0,1997-04-01
53,General merchandise group stores,1996-04-01,23479,0,1997-04-01
541,Grocery stores,1996-04-01,32177,0,1997-04-01
56,Apparel and accessory stores,1996-04-01,9026,0,1997-04-01
58,Eating and drinking places,1996-04-01,19489,0,1997-04-01
591,Drug and proprietary stores,1996-04-01,7329,0,1997-04-01
592,Liquor stores,1996-04-01,1772,0,1997-04-01
5961,Total mail order,1996-04-01,3645,0,1997-04-01
53,General merchandise group stores,1997-05-01,27287,1,1997-05-01
541,Grocery stores,1997-05-01,33953,1,1997-05-01
56,Apparel and accessory stores,1997-05-01,9614,1,1997-05-01
58,Eating and drinking places,1997-05-01,19886,1,1997-05-01
591,Drug and proprietary stores,1997-05-01,8090,1,1997-05-01
553,Auto and home supply stores,1996-05-01,3022,1,1997-05-01
571,Furniture and home furnishings,1996-05-01,5533,1,1997-05-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-05-01,4714,1,1997-05-01
53,General merchandise group stores,1996-05-01,26127,1,1997-05-01
541,Grocery stores,1996-05-01,33108,1,1997-05-01
56,Apparel and accessory stores,1996-05-01,9577,1,1997-05-01
58,Eating and drinking places,1996-05-01,19642,1,1997-05-01
591,Drug and proprietary stores,1996-05-01,7479,1,1997-05-01
592,Liquor stores,1996-05-01,1900,1,1997-05-01
5961,Total mail order,1996-05-01,3984,1,1997-05-01
53,General merchandise group stores,1997-05-01,27214,0,1997-05-01
541,Grocery stores,1997-05-01,35583,0,1997-05-01
56,Apparel and accessory stores,1997-05-01,9720,0,1997-05-01
58,Eating and drinking places,1997-05-01,21198,0,1997-05-01
591,Drug and proprietary stores,1997-05-01,8228,0,1997-05-01
553,Auto and home supply stores,1996-05-01,3197,0,1997-05-01
571,Furniture and home furnishings,1996-05-01,5489,0,1997-05-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-05-01,4323,0,1997-05-01
53,General merchandise group stores,1996-05-01,25904,0,1997-05-01
541,Grocery stores,1996-05-01,34399,0,1997-05-01
56,Apparel and accessory stores,1996-05-01,9435,0,1997-05-01
58,Eating and drinking places,1996-05-01,20742,0,1997-05-01
591,Drug and proprietary stores,1996-05-01,7651,0,1997-05-01
592,Liquor stores,1996-05-01,1927,0,1997-05-01
5961,Total mail order,1996-05-01,3582,0,1997-05-01
53,General merchandise group stores,1997-06-01,27537,1,1997-06-01
541,Grocery stores,1997-06-01,33732,1,1997-06-01
56,Apparel and accessory stores,1997-06-01,9604,1,1997-06-01
58,Eating and drinking places,1997-06-01,20465,1,1997-06-01
591,Drug and proprietary stores,1997-06-01,8108,1,1997-06-01
553,Auto and home supply stores,1996-06-01,3002,1,1997-06-01
571,Furniture and home furnishings,1996-06-01,5548,1,1997-06-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-06-01,4648,1,1997-06-01
53,General merchandise group stores,1996-06-01,25934,1,1997-06-01
541,Grocery stores,1996-06-01,33155,1,1997-06-01
56,Apparel and accessory stores,1996-06-01,9547,1,1997-06-01
58,Eating and drinking places,1996-06-01,19441,1,1997-06-01
591,Drug and proprietary stores,1996-06-01,7463,1,1997-06-01
592,Liquor stores,1996-06-01,1910,1,1997-06-01
5961,Total mail order,1996-06-01,4054,1,1997-06-01
53,General merchandise group stores,1997-06-01,26178,0,1997-06-01
541,Grocery stores,1997-06-01,33530,0,1997-06-01
56,Apparel and accessory stores,1997-06-01,8893,0,1997-06-01
58,Eating and drinking places,1997-06-01,21099,0,1997-06-01
591,Drug and proprietary stores,1997-06-01,7840,0,1997-06-01
553,Auto and home supply stores,1996-06-01,3146,0,1997-06-01
571,Furniture and home furnishings,1996-06-01,5382,0,1997-06-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-06-01,4299,0,1997-06-01
53,General merchandise group stores,1996-06-01,24866,0,1997-06-01
541,Grocery stores,1996-06-01,33420,0,1997-06-01
56,Apparel and accessory stores,1996-06-01,8941,0,1997-06-01
58,Eating and drinking places,1996-06-01,20219,0,1997-06-01
591,Drug and proprietary stores,1996-06-01,7164,0,1997-06-01
592,Liquor stores,1996-06-01,1927,0,1997-06-01
5961,Total mail order,1996-06-01,3296,0,1997-06-01
53,General merchandise group stores,1997-07-01,27759,1,1997-07-01
541,Grocery stores,1997-07-01,33760,1,1997-07-01
56,Apparel and accessory stores,1997-07-01,9753,1,1997-07-01
58,Eating and drinking places,1997-07-01,20383,1,1997-07-01
591,Drug and proprietary stores,1997-07-01,8194,1,1997-07-01
553,Auto and home supply stores,1996-07-01,3017,1,1997-07-01
571,Furniture and home furnishings,1996-07-01,5568,1,1997-07-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-07-01,4670,1,1997-07-01
53,General merchandise group stores,1996-07-01,25983,1,1997-07-01
541,Grocery stores,1996-07-01,33474,1,1997-07-01
56,Apparel and accessory stores,1996-07-01,9457,1,1997-07-01
58,Eating and drinking places,1996-07-01,19589,1,1997-07-01
591,Drug and proprietary stores,1996-07-01,7578,1,1997-07-01
592,Liquor stores,1996-07-01,1907,1,1997-07-01
5961,Total mail order,1996-07-01,4160,1,1997-07-01
53,General merchandise group stores,1997-07-01,25592,0,1997-07-01
541,Grocery stores,1997-07-01,35009,0,1997-07-01
56,Apparel and accessory stores,1997-07-01,8963,0,1997-07-01
58,Eating and drinking places,1997-07-01,21463,0,1997-07-01
591,Drug and proprietary stores,1997-07-01,7956,0,1997-07-01
553,Auto and home supply stores,1996-07-01,3261,0,1997-07-01
571,Furniture and home furnishings,1996-07-01,5590,0,1997-07-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-07-01,4306,0,1997-07-01
53,General merchandise group stores,1996-07-01,23695,0,1997-07-01
541,Grocery stores,1996-07-01,34411,0,1997-07-01
56,Apparel and accessory stores,1996-07-01,8616,0,1997-07-01
58,Eating and drinking places,1996-07-01,20470,0,1997-07-01
591,Drug and proprietary stores,1996-07-01,7381,0,1997-07-01
592,Liquor stores,1996-07-01,2002,0,1997-07-01
5961,Total mail order,1996-07-01,3440,0,1997-07-01
53,General merchandise group stores,1997-08-01,27990,1,1997-08-01
541,Grocery stores,1997-08-01,33567,1,1997-08-01
56,Apparel and accessory stores,1997-08-01,9916,1,1997-08-01
58,Eating and drinking places,1997-08-01,20339,1,1997-08-01
591,Drug and proprietary stores,1997-08-01,8299,1,1997-08-01
553,Auto and home supply stores,1996-08-01,2985,1,1997-08-01
571,Furniture and home furnishings,1996-08-01,5570,1,1997-08-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-08-01,4750,1,1997-08-01
53,General merchandise group stores,1996-08-01,26174,1,1997-08-01
541,Grocery stores,1996-08-01,33241,1,1997-08-01
56,Apparel and accessory stores,1996-08-01,9470,1,1997-08-01
58,Eating and drinking places,1996-08-01,19585,1,1997-08-01
591,Drug and proprietary stores,1996-08-01,7625,1,1997-08-01
592,Liquor stores,1996-08-01,1930,1,1997-08-01
5961,Total mail order,1996-08-01,3964,1,1997-08-01
53,General merchandise group stores,1997-08-01,28064,0,1997-08-01
541,Grocery stores,1997-08-01,34708,0,1997-08-01
56,Apparel and accessory stores,1997-08-01,10531,0,1997-08-01
58,Eating and drinking places,1997-08-01,22007,0,1997-08-01
591,Drug and proprietary stores,1997-08-01,8083,0,1997-08-01
553,Auto and home supply stores,1996-08-01,3254,0,1997-08-01
571,Furniture and home furnishings,1996-08-01,5793,0,1997-08-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-08-01,4669,0,1997-08-01
53,General merchandise group stores,1996-08-01,26416,0,1997-08-01
541,Grocery stores,1996-08-01,34803,0,1997-08-01
56,Apparel and accessory stores,1996-08-01,10366,0,1997-08-01
58,Eating and drinking places,1996-08-01,21250,0,1997-08-01
591,Drug and proprietary stores,1996-08-01,7526,0,1997-08-01
592,Liquor stores,1996-08-01,2032,0,1997-08-01
5961,Total mail order,1996-08-01,3508,0,1997-08-01
53,General merchandise group stores,1997-09-01,27711,1,1997-09-01
541,Grocery stores,1997-09-01,34403,1,1997-09-01
56,Apparel and accessory stores,1997-09-01,9985,1,1997-09-01
58,Eating and drinking places,1997-09-01,20283,1,1997-09-01
591,Drug and proprietary stores,1997-09-01,8315,1,1997-09-01
553,Auto and home supply stores,1996-09-01,2988,1,1997-09-01
571,Furniture and home furnishings,1996-09-01,5560,1,1997-09-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-09-01,4806,1,1997-09-01
53,General merchandise group stores,1996-09-01,26396,1,1997-09-01
541,Grocery stores,1996-09-01,33696,1,1997-09-01
56,Apparel and accessory stores,1996-09-01,9591,1,1997-09-01
58,Eating and drinking places,1996-09-01,19712,1,1997-09-01
591,Drug and proprietary stores,1996-09-01,7633,1,1997-09-01
592,Liquor stores,1996-09-01,1879,1,1997-09-01
5961,Total mail order,1996-09-01,3978,1,1997-09-01
53,General merchandise group stores,1997-09-01,24689,0,1997-09-01
541,Grocery stores,1997-09-01,33096,0,1997-09-01
56,Apparel and accessory stores,1997-09-01,9576,0,1997-09-01
58,Eating and drinking places,1997-09-01,19796,0,1997-09-01
591,Drug and proprietary stores,1997-09-01,7833,0,1997-09-01
553,Auto and home supply stores,1996-09-01,2979,0,1997-09-01
571,Furniture and home furnishings,1996-09-01,5443,0,1997-09-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-09-01,4474,0,1997-09-01
53,General merchandise group stores,1996-09-01,23819,0,1997-09-01
541,Grocery stores,1996-09-01,32314,0,1997-09-01
56,Apparel and accessory stores,1996-09-01,9052,0,1997-09-01
58,Eating and drinking places,1996-09-01,19278,0,1997-09-01
591,Drug and proprietary stores,1996-09-01,7114,0,1997-09-01
592,Liquor stores,1996-09-01,1757,0,1997-09-01
5961,Total mail order,1996-09-01,3731,0,1997-09-01
53,General merchandise group stores,1997-10-01,28009,1,1997-10-01
541,Grocery stores,1997-10-01,34241,1,1997-10-01
56,Apparel and accessory stores,1997-10-01,9901,1,1997-10-01
58,Eating and drinking places,1997-10-01,20641,1,1997-10-01
591,Drug and proprietary stores,1997-10-01,8367,1,1997-10-01
553,Auto and home supply stores,1996-10-01,3093,1,1997-10-01
571,Furniture and home furnishings,1996-10-01,5631,1,1997-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-10-01,4712,1,1997-10-01
53,General merchandise group stores,1996-10-01,26545,1,1997-10-01
541,Grocery stores,1996-10-01,33753,1,1997-10-01
56,Apparel and accessory stores,1996-10-01,9536,1,1997-10-01
58,Eating and drinking places,1996-10-01,19884,1,1997-10-01
591,Drug and proprietary stores,1996-10-01,7777,1,1997-10-01
592,Liquor stores,1996-10-01,1888,1,1997-10-01
5961,Total mail order,1996-10-01,4006,1,1997-10-01
53,General merchandise group stores,1997-10-01,27742,0,1997-10-01
541,Grocery stores,1997-10-01,34412,0,1997-10-01
56,Apparel and accessory stores,1997-10-01,10010,0,1997-10-01
58,Eating and drinking places,1997-10-01,20992,0,1997-10-01
591,Drug and proprietary stores,1997-10-01,8375,0,1997-10-01
553,Auto and home supply stores,1996-10-01,3272,0,1997-10-01
571,Furniture and home furnishings,1996-10-01,5822,0,1997-10-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-10-01,4604,0,1997-10-01
53,General merchandise group stores,1996-10-01,25978,0,1997-10-01
541,Grocery stores,1996-10-01,33584,0,1997-10-01
56,Apparel and accessory stores,1996-10-01,9569,0,1997-10-01
58,Eating and drinking places,1996-10-01,20083,0,1997-10-01
591,Drug and proprietary stores,1996-10-01,7715,0,1997-10-01
592,Liquor stores,1996-10-01,1837,0,1997-10-01
5961,Total mail order,1996-10-01,4491,0,1997-10-01
53,General merchandise group stores,1997-11-01,28008,1,1997-11-01
541,Grocery stores,1997-11-01,34305,1,1997-11-01
56,Apparel and accessory stores,1997-11-01,9887,1,1997-11-01
58,Eating and drinking places,1997-11-01,20462,1,1997-11-01
591,Drug and proprietary stores,1997-11-01,8452,1,1997-11-01
553,Auto and home supply stores,1996-11-01,2965,1,1997-11-01
571,Furniture and home furnishings,1996-11-01,5632,1,1997-11-01
"5722,31,34","Household appliance, radio, TV,and computer stores",1996-11-01,4672,1,1997-11-01
53,General merchandise group stores,1996-11-01,26210,1,1997-11-01
541,Grocery stores,1996-11-01,33655,1,1997-11-01
