sic,description,as_of_date,value,is_sa,release_as_of_date
591,Drug and proprietary stores,1994-05-01,6829,0,1994-05-01
553,Auto and home supply stores,1993-05-01,3215,0,1994-05-01
571,Furniture and home furnishings,1993-05-01,4712,0,1994-05-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-05-01,3263,0,1994-05-01
53,General merchandise group stores,1993-05-01,21639,0,1994-05-01
541,Grocery stores,1993-05-01,31588,0,1994-05-01
56,Apparel and accessory stores,1993-05-01,8699,0,1994-05-01
58,Eating and drinking places,1993-05-01,18280,0,1994-05-01
591,Drug and proprietary stores,1993-05-01,6690,0,1994-05-01
592,Liquor stores,1993-05-01,1781,0,1994-05-01
5961,Total mail order,1993-05-01,2028,0,1994-05-01
53,General merchandise group stores,1994-06-01,23689,1,1994-06-01
541,Grocery stores,1994-06-01,31396,1,1994-06-01
56,Apparel and accessory stores,1994-06-01,8898,1,1994-06-01
58,Eating and drinking places,1994-06-01,18411,1,1994-06-01
591,Drug and proprietary stores,1994-06-01,6863,1,1994-06-01
553,Auto and home supply stores,1993-06-01,3123,1,1994-06-01
571,Furniture and home furnishings,1993-06-01,4732,1,1994-06-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-06-01,3570,1,1994-06-01
53,General merchandise group stores,1993-06-01,22102,1,1994-06-01
541,Grocery stores,1993-06-01,30785,1,1994-06-01
56,Apparel and accessory stores,1993-06-01,8818,1,1994-06-01
58,Eating and drinking places,1993-06-01,17615,1,1994-06-01
591,Drug and proprietary stores,1993-06-01,6771,1,1994-06-01
592,Liquor stores,1993-06-01,1788,1,1994-06-01
5961,Total mail order,1993-06-01,2156,1,1994-06-01
53,General merchandise group stores,1994-06-01,22513,0,1994-06-01
541,Grocery stores,1994-06-01,32087,0,1994-06-01
56,Apparel and accessory stores,1994-06-01,8346,0,1994-06-01
58,Eating and drinking places,1994-06-01,19000,0,1994-06-01
591,Drug and proprietary stores,1994-06-01,6774,0,1994-06-01
553,Auto and home supply stores,1993-06-01,3417,0,1994-06-01
571,Furniture and home furnishings,1993-06-01,4751,0,1994-06-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-06-01,3495,0,1994-06-01
53,General merchandise group stores,1993-06-01,20632,0,1994-06-01
541,Grocery stores,1993-06-01,31062,0,1994-06-01
56,Apparel and accessory stores,1993-06-01,8212,0,1994-06-01
58,Eating and drinking places,1993-06-01,18161,0,1994-06-01
591,Drug and proprietary stores,1993-06-01,6615,0,1994-06-01
592,Liquor stores,1993-06-01,1772,0,1994-06-01
5961,Total mail order,1993-06-01,1878,0,1994-06-01
53,General merchandise group stores,1994-07-01,23967,1,1994-07-01
541,Grocery stores,1994-07-01,31839,1,1994-07-01
56,Apparel and accessory stores,1994-07-01,8871,1,1994-07-01
58,Eating and drinking places,1994-07-01,19002,1,1994-07-01
591,Drug and proprietary stores,1994-07-01,6836,1,1994-07-01
553,Auto and home supply stores,1993-07-01,3141,1,1994-07-01
